Lat,Long
44.9409901,-93.1428444
40.7210150,-73.9526140
38.5825701,-121.4932372
40.7501485,-73.9717064
40.7499352,-73.9717807
33.9387612,-117.2930039
42.6524162,-73.7585063
38.57937875,-92.17245392
42.65349215,-73.75851918
38.5792278,-92.1729689
42.6529695,-73.7569793
45.5273066,-122.6604927
40.6828173,-73.9753941
37.2754798,-76.7416856
44.9138116,-93.5033528
25.9819763,-80.2265765
44.2471534,-86.3239800
41.7990733,-69.9834823
